zone_name,zip_code,zone_description,shipping_cost,weight_margin,minimum_cost
Padaviya,50570,Padaviya,100,5,150
Padikaramaduwa,50338,Padikaramaduwa,100,5,150
Pahala Halmillewa,50206,Pahala Halmillewa,100,5,150
Pahala Maragahawe,50220,Pahala Maragahawe,100,5,150
Pahalagama,50244,Pahalagama,100,5,150
Palugaswewa,50144,Palugaswewa,100,5,150
Pandukabayapura,50448,Pandukabayapura,100,5,150
Pandulagama,50029,Pandulagama,100,5,150
Parakumpura,50326,Parakumpura,100,5,150
Parangiyawadiya,50354,Parangiyawadiya,100,5,150
Parasangahawewa,50055,Parasangahawewa,100,5,150
Pelatiyawa,51033,Pelatiyawa,100,5,150
Pemaduwa,50020,Pemaduwa,100,5,150
Perimiyankulama,50004,Perimiyankulama,100,5,150
Pihimbiyagolewa,50512,Pihimbiyagolewa,100,5,150
Pubbogama,50122,Pubbogama,100,5,150
Punewa,50506,Punewa,100,5,150
Rajanganaya,50246,Rajanganaya,100,5,150
Rambewa,50450,Rambewa,100,5,150
Rampathwila,50386,Rampathwila,100,5,150
Rathmalgahawewa,50514,Rathmalgahawewa,100,5,150
Saliyapura,50008,Saliyapura,100,5,150
Seeppukulama,50380,Seeppukulama,100,5,150
Senapura,50284,Senapura,100,5,150
Sivalakulama,50068,Sivalakulama,100,5,150
Siyambalewa,50184,Siyambalewa,100,5,150
Sravasthipura,50042,Sravasthipura,100,5,150
Talawa,50230,Talawa,100,5,150
Tambuttegama,50240,Tambuttegama,100,5,150
Tammennawa,50104,Tammennawa,100,5,150
Tantirimale,50016,Tantirimale,100,5,150
Telhiriyawa,50242,Telhiriyawa,100,5,150
Tirappane,50072,Tirappane,100,5,150
Tittagonewa,50558,Tittagonewa,100,5,150
Udunuwara Colony,50207,Udunuwara Colony,100,5,150
Upuldeniya,50382,Upuldeniya,100,5,150
Uttimaduwa,50067,Uttimaduwa,100,5,150
Vellamanal,31053,Vellamanal,100,5,150
Viharapalugama,50012,Viharapalugama,100,5,150
Wahalkada,50564,Wahalkada,100,5,150
Wahamalgollewa,50492,Wahamalgollewa,100,5,150
Walagambahuwa,50086,Walagambahuwa,100,5,150
Walahaviddawewa,50516,Walahaviddawewa,100,5,150
Welimuwapotana,50358,Welimuwapotana,100,5,150
Welioya Project,50586,Welioya Project,100,5,150
Akkarasiyaya,90166,Akkarasiyaya,100,5,150
Aluketiyawa,90736,Aluketiyawa,100,5,150
Aluttaramma,90722,Aluttaramma,100,5,150
Ambadandegama,90108,Ambadandegama,100,5,150
Ambagasdowa,90300,Ambagasdowa,100,5,150
Arawa,90017,Arawa,100,5,150
Arawakumbura,90532,Arawakumbura,100,5,150
Arawatta,90712,Arawatta,100,5,150
Atakiriya,90542,Atakiriya,100,5,150
Badulla,90000,Badulla,100,5,150
Baduluoya,90019,Baduluoya,100,5,150
Ballaketuwa,90092,Ballaketuwa,100,5,150
Bambarapana,90322,Bambarapana,100,5,150
Bandarawela,90100,Bandarawela,100,5,150
Beramada,90066,Beramada,100,5,150
Bibilegama,90502,Bibilegama,100,5,150
Boragas,90362,Boragas,100,5,150
Boralanda,90170,Boralanda,100,5,150
Bowela,90302,Bowela,100,5,150
Central Camp,32050,Central Camp,100,5,150
Damanewela,32126,Damanewela,100,5,150
Dambana,90714,Dambana,100,5,150
Dehiattakandiya,32150,Dehiattakandiya,100,5,150
Demodara,90080,Demodara,100,5,150
Diganatenna,90132,Diganatenna,100,5,150
Dikkapitiya,90214,Dikkapitiya,100,5,150
Dimbulana,90324,Dimbulana,100,5,150
Divulapelessa,90726,Divulapelessa,100,5,150
Diyatalawa,90150,Diyatalawa,100,5,150
Dulgolla,90104,Dulgolla,100,5,150
Ekiriyankumbura,91502,Ekiriyankumbura,100,5,150
Ella,90090,Ella,100,5,150
Ettampitiya,90140,Ettampitiya,100,5,150
Galauda,90065,Galauda,100,5,150
Galporuyaya,90752,Galporuyaya,100,5,150
Gawarawela,90082,Gawarawela,100,5,150
Girandurukotte,90750,Girandurukotte,100,5,150
Godunna,90067,Godunna,100,5,150
Gurutalawa,90208,Gurutalawa,100,5,150
Haldummulla,90180,Haldummulla,100,5,150
Hali Ela,90060,Hali Ela,100,5,150
Hangunnawa,90224,Hangunnawa,100,5,150
Haputale,90160,Haputale,100,5,150
Hebarawa,90724,Hebarawa,100,5,150
Heeloya,90112,Heeloya,100,5,150
Helahalpe,90122,Helahalpe,100,5,150
Helapupula,90094,Helapupula,100,5,150
Hopton,90524,Hopton,100,5,150
Idalgashinna,96167,Idalgashinna,100,5,150
Kahataruppa,90052,Kahataruppa,100,5,150
Kalugahakandura,90546,Kalugahakandura,100,5,150
Kalupahana,90186,Kalupahana,100,5,150
Kebillawela,90102,Kebillawela,100,5,150
Kendagolla,90048,Kendagolla,100,5,150
Keselpotha,90738,Keselpotha,100,5,150
Ketawatta,90016,Ketawatta,100,5,150
Kiriwanagama,90184,Kiriwanagama,100,5,150
Koslanda,90190,Koslanda,100,5,150
Kuruwitenna,90728,Kuruwitenna,100,5,150
Kuttiyagolla,90046,Kuttiyagolla,100,5,150
Landewela,90068,Landewela,100,5,150
Liyangahawela,90106,Liyangahawela,100,5,150
Lunugala,90530,Lunugala,100,5,150
Lunuwatta,90310,Lunuwatta,100,5,150
Madulsima,90535,Madulsima,100,5,150
Mahiyanganaya,90700,Mahiyanganaya,100,5,150
Makulella,90114,Makulella,100,5,150
Malgoda,90754,Malgoda,100,5,150
Mapakadawewa,90730,Mapakadawewa,100,5,150
Maspanna,90328,Maspanna,100,5,150
Maussagolla,90582,Maussagolla,100,5,150
Mawanagama,32158,Mawanagama,100,5,150
Medawela Udukinda,90218,Medawela Udukinda,100,5,150
Meegahakiula,90015,Meegahakiula,100,5,150
Metigahatenna,90540,Metigahatenna,100,5,150
Mirahawatta,90134,Mirahawatta,100,5,150
Miriyabedda,90504,Miriyabedda,100,5,150
Nawamedagama,32120,Nawamedagama,100,5,150
Nelumgama,90042,Nelumgama,100,5,150
Nikapotha,90165,Nikapotha,100,5,150
Nugatalawa,90216,Nugatalawa,100,5,150
Ohiya,90168,Ohiya,100,5,150
Pahalarathkinda,90756,Pahalarathkinda,100,5,150
Pallekiruwa,90534,Pallekiruwa,100,5,150
Passara,90500,Passara,100,5,150
Pattiyagedara,90138,Pattiyagedara,100,5,150
Pelagahatenna,90522,Pelagahatenna,100,5,150
Perawella,90222,Perawella,100,5,150
Pitamaruwa,90544,Pitamaruwa,100,5,150
Pitapola,90171,Pitapola,100,5,150
Puhulpola,90212,Puhulpola,100,5,150
Rajagalatenna,32068,Rajagalatenna,100,5,150
Rathkarawwa,90164,Rathkarawwa,100,5,150
Ridimaliyadda,90704,Ridimaliyadda,100,5,150
Silmiyapura,90364,Silmiyapura,100,5,150
Sirimalgoda,90044,Sirimalgoda,100,5,150
Siripura,32155,Siripura,100,5,150
Sorabora Colony,90718,Sorabora Colony,100,5,150
Soragune,90183,Soragune,100,5,150
Soranathota,90008,Soranathota,100,5,150
Taldena,90014,Taldena,100,5,150
Timbirigaspitiya,90012,Timbirigaspitiya,100,5,150
Uduhawara,90226,Uduhawara,100,5,150
Uraniya,90702,Uraniya,100,5,150
Uva Karandagolla,90091,Uva Karandagolla,100,5,150
Uva Mawelagama,90192,Uva Mawelagama,100,5,150
Uva Tenna,90188,Uva Tenna,100,5,150
Uva Tissapura,90734,Uva Tissapura,100,5,150
Welimada,90200,Welimada,100,5,150
Weranketagoda,32062,Weranketagoda,100,5,150
Wewatta,90716,Wewatta,100,5,150
Wineethagama,90034,Wineethagama,100,5,150
Yalagamuwa,90329,Yalagamuwa,100,5,150
Yalwela,90706,Yalwela,100,5,150
Addalaichenai,32350,Addalaichenai,100,5,150
Ampilanthurai,30162,Ampilanthurai,100,5,150
Araipattai,30150,Araipattai,100,5,150
Ayithiyamalai,30362,Ayithiyamalai,100,5,150
Bakiella,30206,Bakiella,100,5,150
Batticaloa,30000,Batticaloa,100,5,150
Cheddipalayam,30194,Cheddipalayam,100,5,150
Chenkaladi,30350,Chenkaladi,100,5,150
Eravur,30300,Eravur,100,5,150
Kaluwanchikudi,30200,Kaluwanchikudi,100,5,150
Kaluwankemy,30372,Kaluwankemy,100,5,150
Kannankudah,30016,Kannankudah,100,5,150
Karadiyanaru,30354,Karadiyanaru,100,5,150
Kathiraveli,30456,Kathiraveli,100,5,150
Kattankudi,30100,Kattankudi,100,5,150
Kiran,30394,Kiran,100,5,150
Kirankulam,30159,Kirankulam,100,5,150
Koddaikallar,30249,Koddaikallar,100,5,150
Kokkaddicholai,30160,Kokkaddicholai,100,5,150
Kurukkalmadam,30192,Kurukkalmadam,100,5,150
Mandur,30220,Mandur,100,5,150
Miravodai,30426,Miravodai,100,5,150
Murakottanchanai,30392,Murakottanchanai,100,5,150
Navagirinagar,30238,Navagirinagar,100,5,150
Navatkadu,30018,Navatkadu,100,5,150
Oddamavadi,30420,Oddamavadi,100,5,150
Palamunai,32354,Palamunai,100,5,150
Pankudavely,30352,Pankudavely,100,5,150
Periyaporativu,30230,Periyaporativu,100,5,150
Periyapullumalai,30358,Periyapullumalai,100,5,150
Pillaiyaradi,30022,Pillaiyaradi,100,5,150
Punanai,30428,Punanai,100,5,150
Thannamunai,30024,Thannamunai,100,5,150
Thettativu,30196,Thettativu,100,5,150
Thikkodai,30236,Thikkodai,100,5,150
Thirupalugamam,30234,Thirupalugamam,100,5,150
Unnichchai,30364,Unnichchai,100,5,150
Vakaneri,30424,Vakaneri,100,5,150
Vakarai,30450,Vakarai,100,5,150
Valaichenai,30400,Valaichenai,100,5,150
Vantharumoolai,30376,Vantharumoolai,100,5,150
Vellavely,30204,Vellavely,100,5,150
Akarawita,10732,Akarawita,100,5,150
Ambalangoda,80300,Ambalangoda,100,5,150
Athurugiriya,10150,Athurugiriya,100,5,150
Avissawella,10700,Avissawella,100,5,150
Batawala,10513,Batawala,100,5,150
Battaramulla,10120,Battaramulla,100,5,150
Biyagama,11650,Biyagama,100,5,150
Bope,10522,Bope,100,5,150
Boralesgamuwa,10290,Boralesgamuwa,100,5,150
Colombo 8,800,Colombo 8,100,5,150
Dedigamuwa,10656,Dedigamuwa,100,5,150
Dehiwala,10350,Dehiwala,100,5,150
Deltara,10302,Deltara,100,5,150
Habarakada,10204,Habarakada,100,5,150
Hanwella,10650,Hanwella,100,5,150
Hiripitya,10232,Hiripitya,100,5,150
Hokandara,10118,Hokandara,100,5,150
Homagama,10200,Homagama,100,5,150
Horagala,10502,Horagala,100,5,150
Kaduwela,10640,Kaduwela,100,5,150
Kaluaggala,11224,Kaluaggala,100,5,150
Kapugoda,10662,Kapugoda,100,5,150
Kehelwatta,12550,Kehelwatta,100,5,150
Kiriwattuduwa,10208,Kiriwattuduwa,100,5,150
Kolonnawa,10600,Kolonnawa,100,5,150
Kosgama,10730,Kosgama,100,5,150
Madapatha,10306,Madapatha,100,5,150
Maharagama,10280,Maharagama,100,5,150
Malabe,10115,Malabe,100,5,150
Moratuwa,10400,Moratuwa,100,5,150
Mount Lavinia,10370,Mount Lavinia,100,5,150
Mullegama,10202,Mullegama,100,5,150
Napawela,10704,Napawela,100,5,150
Nugegoda,10250,Nugegoda,100,5,150
Padukka,10500,Padukka,100,5,150
Pannipitiya,10230,Pannipitiya,100,5,150
Piliyandala,10300,Piliyandala,100,5,150
Pitipana Homagama,10206,Pitipana Homagama,100,5,150
Polgasowita,10320,Polgasowita,100,5,150
Pugoda,10660,Pugoda,100,5,150
Ranala,10654,Ranala,100,5,150
Siddamulla,10304,Siddamulla,100,5,150
Siyambalagoda,81462,Siyambalagoda,100,5,150
Sri Jayawardenepura,10100,Sri Jayawardenepura,100,5,150
Talawatugoda,10116,Talawatugoda,100,5,150
Tummodara,10682,Tummodara,100,5,150
Waga,10680,Waga,100,5,150
Colombo 6,600,Colombo 6,100,5,150
Agaliya,80212,Agaliya,100,5,150
Ahangama,80650,Ahangama,100,5,150
Ahungalla,80562,Ahungalla,100,5,150
Akmeemana,80090,Akmeemana,100,5,150
Alawatugoda,20140,Alawatugoda,100,5,150
Aluthwala,80332,Aluthwala,100,5,150
Ampegama,80204,Ampegama,100,5,150
Amugoda,80422,Amugoda,100,5,150
Anangoda,80044,Anangoda,100,5,150
Angulugaha,80122,Angulugaha,100,5,150
Ankokkawala,80048,Ankokkawala,100,5,150
Aselapura,51072,Aselapura,100,5,150
Baddegama,80200,Baddegama,100,5,150
Balapitiya,80550,Balapitiya,100,5,150
Banagala,80143,Banagala,100,5,150
Batapola,80320,Batapola,100,5,150
Bentota,80500,Bentota,100,5,150
Boossa,80270,Boossa,100,5,150
Dellawa,81477,Dellawa,100,5,150
Dikkumbura,80654,Dikkumbura,100,5,150
Dodanduwa,80250,Dodanduwa,100,5,150
Ella Tanabaddegama,80402,Ella Tanabaddegama,100,5,150
Elpitiya,80400,Elpitiya,100,5,150
Galle,80000,Galle,100,5,150
Ginimellagaha,80220,Ginimellagaha,100,5,150
Gintota,80280,Gintota,100,5,150
Godahena,80302,Godahena,100,5,150
Gonamulla Junction,80054,Gonamulla Junction,100,5,150
Gonapinuwala,80230,Gonapinuwala,100,5,150
Habaraduwa,80630,Habaraduwa,100,5,150
Haburugala,80506,Haburugala,100,5,150
Hikkaduwa,80240,Hikkaduwa,100,5,150
Hiniduma,80080,Hiniduma,100,5,150
Hiyare,80056,Hiyare,100,5,150
Kahaduwa,80460,Kahaduwa,100,5,150
Kahawa,80312,Kahawa,100,5,150
Karagoda,80151,Karagoda,100,5,150
Karandeniya,80360,Karandeniya,100,5,150
Kosgoda,80570,Kosgoda,100,5,150
Kottawagama,80062,Kottawagama,100,5,150
Kottegoda,81180,Kottegoda,100,5,150
Kuleegoda,80328,Kuleegoda,100,5,150
Magedara,80152,Magedara,100,5,150
Mahawela Sinhapura,51076,Mahawela Sinhapura,100,5,150
Mapalagama,80112,Mapalagama,100,5,150
